developer,year,items_qty,free_qty
"2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel",2016,2,0
"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)",2010,1,0
2Pi Interactive Pvt. Ltd.,2016,1,0
2Play,2013,1,0
"2Play,Fredrik Häthén Music",2017,1,0
"2Play,Prasius",2017,1,0
2SD,2015,2,0
"2XL Games,Blitworks",2017,1,0
2by3 Games,2010,1,0
2by3 Games,2012,1,0
2by3 Games,2013,1,0
2by3 Games,2014,1,0
2by3 Games,2015,1,0
2x2 Games,2012,2,0
2x2 Games,2013,1,0
2xMilk,2017,2,0
3 Core Studio,2013,1,0
3 Fright,2016,2,0
3 Minute Games,2017,1,0
3 Sprockets,2012,1,0
3 Sprockets,2013,1,0
3 Sprockets,2014,1,0
3 Sprockets,2017,1,0
30.06 Studios Ltd,2014,1,0
300 fps,2017,1,0
3000AD,2009,2,0
3000AD,2014,3,0
3000AD,2015,2,0
3100 games,2016,1,0
313 Studios,2017,1,0
314 Arts,2016,1,0
"343 Industries,Vanguard Games",2014,1,0
34BigThings srl,2015,1,0
34BigThings srl,2016,2,0
34BigThings srl,2017,5,0
373vFS Greg,2017,1,0
"38,9_Degrees",2017,4,0
3909,2013,1,0
3Crew,2016,1,0
3D Avenue,2016,2,0
3D Realms,1996,1,1
3D Realms (Apogee Software),1990,2,0
3D Realms (Apogee Software),1991,3,0
3D Realms (Apogee Software),1992,2,0
3D Realms (Apogee Software),1993,3,0
3D Realms (Apogee Software),1994,1,0
3D Realms (Apogee Software),1995,1,0
3D Realms (Apogee Software),1997,1,0
3D2 Entertainment,2017,2,0
3DClouds.it,2017,2,0
3DDUO,2016,5,0
3DDUO,2017,3,0
3Dflow SRL,2016,1,0
3Division,2016,4,0
3GoGames,2017,1,0
3f Interactive,2012,1,0
3f Interactive,2013,1,0
3y3.net,2017,1,0
4 Door Lemon,2016,1,0
4 Friends Games,2017,2,0
4 Head Studios,2006,1,0
4 Head Studios,2007,1,0
4 I Lab,2016,3,1
4 I Lab,2017,1,0
4-Panel Footprint,2015,2,0
40Ggames,2017,1,0
48h Studio,2014,1,0
49 Games,2007,1,0
49 Games,2008,1,0
4A Games,2014,2,0
4Bit Games,2015,1,0
4D Door Games,2017,2,0
"4EdgesGames,Visumeca",2016,1,0
4FreaksFiction,2017,1,0
4Friends Games,2015,1,0
4HEAD Studios,2002,1,0
4Head Studios,2008,1,0
4NetGames,2015,1,0
4Realms,2015,1,0
4SKY Game Studio,2017,1,0
4gency,2016,1,0
4sdk,2010,1,0
4th cluster,2016,1,0
4th cluster,2017,2,2
5 Bits Games,2014,1,0
5 Lives Studios,2015,4,0
505 Games,2013,3,0
51Pegasi Studios,2016,1,0
"51Pegasi Studios,Connor Lourenco",2017,1,0
55 Revolver,2016,1,0
5Wolf,2016,2,0
5d Games GmbH,2017,1,0
5th Cell Media,2012,1,0
5th Cell Media,2013,1,0
5th Planet Games,2017,1,1
651 GAMES,2017,1,0
68k Studios,2017,1,0
6L6 Interactive,2016,1,0
7 Generation Games,2016,1,0
7 Raven Studios,2016,3,0
7 Raven Studios,2017,1,0
7 Road,2016,1,1
7 Soft Pillows,2015,2,0
71Games,2017,1,0
773,2012,1,0
773,2014,1,0
773,2016,1,0
777 Studios,2013,8,1
777 Studios,2014,1,0
777 Studios,2015,2,0
"7Config,BadDoge",2016,1,0
7DOTS,2017,2,0
7K Games,2016,1,0
7TPGames,2016,1,0
8-Bit Studio,2017,4,1
800 North,2017,1,0
800 North and Digital Ranch,2011,1,0
800 North and Digital Ranch,2014,1,0
800 North and Digital Ranch,2015,1,0
8888888 LABS,2013,1,0
88mm,2014,2,0
89AM Studio,2016,1,0
89AM Studio,2017,1,0
8D Studio,2015,1,0
8Floor,2015,2,0
8th Floor Games,2013,1,0
9 Eyes Game Studio,2017,1,0
971 Games,2016,1,0
9heads Game Studios,2012,2,0
9heads Game Studios,2014,1,0
@VincentLTower,2017,1,0
@YearOfTheBob,2017,1,1
@lukasinspace,2017,2,0
@unepic_fran,2014,1,0
@unepic_fran,2016,3,0
@unepic_fran,2017,2,0
"A &amp; B Game Studios, LLC",2016,1,0
A Crowd of Monsters,2015,4,0
"A Crowd of Monsters,Sonotrigger",2015,1,0
A Jolly Corpse,2014,1,0
A Maniacal Game LP,2017,1,0
"A Sharp, LLC",2015,1,0
A Stranger Gravity,2015,2,0
A Sweet Studio,2017,1,0
A and F studios,2017,1,0
"A-Flight,Caipirinha Games",2017,1,0
"A. Fruit,Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,1,0
A. Hagen,2016,1,1
A.J Starkey Enterprises,2015,2,0
A.Lepunov,2017,2,0
A.Y.std,2016,1,0
A2A Simulations,2015,5,0
AA Games,2017,1,0
AAAGAMES s.r.o.,2016,1,0
AAD Productions,2014,1,0
AB SOFT,2017,1,0
ACD Systems International Inc.,2012,1,0
"ACE Ed-Venture Studio,Artoncode™",2017,1,0
ACE MADDOX,2015,1,0
ACE MADDOX,2017,1,0
ACE Team,2009,1,0
ACE Team,2011,1,0
ACE Team,2013,1,0
ACE Team,2014,2,0
ACE Team,2016,1,0
ACE Team,2017,2,0
ACQUIRE Corp.,2012,1,0
ACQUIRE Corp.,2015,3,0
ACQUIRE Corp.,2016,4,0
"ACSourse,Gamieon, Inc.",2016,1,1
AECRNIA,2017,2,0
AEL Entertainment,2016,1,0
AFStudio,2017,1,0
AG media,2016,1,0
AGC,2015,1,0
AGO Games,2015,1,0
AGP::Studios,2016,1,0
AHA Entertainment,2016,1,1
AHEARTFULOFGAMES,2016,2,0
AIGRIND,2017,3,2
AIHASTO,2017,1,0
AIVIK LLC,2016,2,0
AK Games,2016,1,0
AKGames,2015,2,0
AL Games,2017,1,0
AL-GAME,2016,1,0
AL-GAME,2017,1,0
ALEKSANDER CHIEPAIKIN,2017,5,0
ALICE IN DISSONANCE,2013,1,0
ALICE IN DISSONANCE,2015,3,0
ALICE IN DISSONANCE,2016,1,0
ALLM,2017,4,1
ALLPlayer Group Ltd.,2014,1,0
ALTAR Interactive,2005,1,0
"AMA,Mando Productions",2015,1,0
AMG GAMES,2017,2,0
AMIDEA Games,2016,1,0
AMPLITUDE Studios,2012,1,0
AMPLITUDE Studios,2014,3,0
AMPLITUDE Studios,2015,9,2
AMPLITUDE Studios,2016,2,0
AMPLITUDE Studios,2017,8,7
AMS Game Development Association,2016,1,1
"AN Productions,Poxpower",2017,1,1
ANDORE,2017,1,0
ANIM•ACE,2017,1,0
ANPA.US,2015,3,0
ANPA.US,2016,6,0
ANV Team,2017,2,0
AOS GAME,2015,1,0
APAS games,2015,1,0
APGal,2017,1,0
APPIDEMIC Studios,2015,1,0
APPLEMINT,2017,1,0
AQURIA,2017,1,0
ARB Studios,2010,1,0
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",2017,4,2
AREA 35,2017,1,0
ARES Inc.,2017,1,0
ARGames,2017,1,0
ARS,2017,1,0
ARTDINK,2008,2,0
ARTDINK,2015,6,1
ARTDINK,2016,1,0
ARTDINK,2017,1,0
ARTIFACTS,2016,1,0
ARTIFACTS,2017,1,0
ARdigitC,2017,1,0
ASC Games,2015,1,0
ASGames,2016,1,0
ASK Homework,2012,1,0
ASTRO PORT,2011,2,0
ASTRO PORT,2014,1,0
ASTRO PORT,2015,3,0
ASTRO PORT,2016,2,0
ASTRO PORT,2017,1,0
AT The Gate Team,2017,1,0
ATTACK MOUNTAIN,2016,2,0
ATTACK MOUNTAIN,2017,2,0
AV media lab,2015,1,0
AVE,2016,1,0
AVGames,2016,1,0
AVOlight,2017,1,0
AVP,2017,1,0
AWE Games,2006,1,0
AYE Technology,2017,2,0
AZ-Art Development Studio,2015,1,0
AZAMATIKA,2016,1,0
Aardman Animations,2014,1,0
Aaron Arcand,2015,1,0
Aaron Oldenburg,2015,1,0
Aartform,2013,1,0
Aartform Games,2014,1,0
Aatlantis Code,2016,1,0
Abbey Games,2013,1,0
Abbey Games,2015,1,0
Abbey Games,2016,1,0
Abbey Games,2017,1,0
Abdulla Hassan Al-Farsi,2016,1,0
Abigail Corfman,2017,1,0
Abnormal Software,2015,1,0
Above and Beyond Technologies,2017,1,0
Abraham Carreola,2015,1,0
Abrakam SA,2017,2,1
Abrupt Games,2015,1,0
AbsQual Studio,2016,1,0
Absent Moon Studios,2017,1,0
Absolut Soft LLC,2016,1,0
Absolutist Ltd,2017,1,1
Absolutist Ltd.,2009,1,0
Absolutist Ltd.,2015,2,0
Absolutist Ltd.,2016,3,1
Absorb Reality,2015,1,0
Absorb Reality,2017,2,0
Absorbed Studios,2017,1,1
Absortalent Games,2017,1,0
Abstract Tree Studio,2016,1,0
Abstraction Games,2014,1,0
"Abstraction Games,The Bitmap Brothers",2013,1,0
"Abstraction Games,WayForward",2016,1,0
Abstractive Works,2016,1,0
Abyss Studios,2015,1,0
"Accela,Inc.",2017,1,0
"Acceleroto, Inc.",2015,1,0
Access Games,2015,16,0
Access Software,1989,1,0
Access Software,1991,1,0
Access Software,1994,1,0
Access Software,1996,1,0
Access Software,1998,1,0
Accidental Queens,2017,4,0
Acclaim Cheltenham,1998,1,0
Acclaim Studios Teeside,1999,1,0
Accolade,1993,1,0
"Accolade, Inc",1996,1,0
"Accolade, Inc.",1996,1,0
"Accolade, Inc.",1999,2,0
Acerio Games,2016,1,0
Achebit,2015,1,0
Achisoft,2017,1,0
Achpile,2016,1,0
Achpile,2017,1,0
Acid Cat,2016,1,0
Acid Nerve,2015,1,0
Ackk Studios,2013,1,0
Ackmi,2016,1,0
"Acme Nerd Games, LLC",2017,1,0
AcneVulgaris,2016,1,0
"Acoustica, Inc.",2017,1,0
Acquire,2012,7,0
Acquire,2016,1,0
Acquire Corp.,2015,8,0
"Acquire,Zerodiv",2016,1,0
"Acram Digital,Mobo Studio",2017,13,2
"Act 3 Games, LLC",2017,2,1
ActaLogic,2017,1,0
Actalogic,2012,1,0
Actalogic,2013,2,0
Actalogic,2014,1,0
"Action Button Entertainment, LLC",2016,1,0
Activision,1993,1,0
Activision,1996,1,0
Activision,1997,1,0
Activision,2000,1,0
Actoz Soft,2017,1,1
Actual Tools,2016,1,0
Acute Games,2017,1,1
Acuze Interactives,2017,3,0
"Acuze Interactives,Winterbyte",2017,1,0
Ad Aspera,2017,1,0
Adage Games,2017,1,0
Adam DeLease,2015,1,0
Adam DeLease,2016,1,0
Adam DeLease,2017,2,0
Adam Foster,2013,1,1
Adam Hebert,2017,1,0
Adam John Adkins,2017,1,0
"Adam McLellan,Ricardo Chirino",2016,2,0
Adam Mowery,2015,1,0
"Adam Saltsman,Robin Arnott",2012,1,0
Adam Spragg,2014,1,0
Adam Tarnowski,2015,1,0
Adam Tarnowski,2017,1,0
Adam Thompson,2017,1,0
Adam Wells,2016,1,0
"Adept Studios GD,Alawar Entertainment",2016,1,0
Adham Jaber,2016,1,0
Adhoc Games,2015,3,0
Adhoc Games,2016,1,1
Aditya Yadav,2017,1,0
"Adriaan de Jongh,Sylvain Tegroeg",2017,1,0
AdroVGames,2016,2,0
Aduge Studio,2016,1,0
Advent RPG,2016,1,0
"Adventure Mob,Corbomite Games",2016,2,0
"Adventure Productions,10th Art Studio",2015,1,0
Adventurepro Games LLC,2014,1,0
Adventurepro Games LLC,2017,1,0
Adventurous Productions,2015,1,0
Aegon Games,2015,1,0
Aegon Games Ltd,2016,1,0
Aegon Games Ltd,2017,1,0
Aeon Dream Studios,2016,8,1
Aeon Dream Studios,2017,2,0
Aeonic Entertainment,2016,2,0
Aerilon Studios,2017,1,0
Aeroplane Heaven,2015,1,0
Aeroplane Heaven,2016,1,0
Aerosoft GmbH,2012,1,0
Aerosoft GmbH,2013,1,0
Aerosoft GmbH,2015,7,0
Aerosoft GmbH,2016,8,0
Aerosoft GmbH,2017,4,0
"Aerosoft GmbH,Stairport Sceneries",2017,1,0
"Aerosoft,Caipirinha Games",2017,1,0
Aesir Interactive,2016,1,0
Aesir Interactive,2017,1,0
Aetheric Games,2017,1,0
AfroDieter,2017,1,0
Afrobeast Games,2016,1,0
After Death Team,2017,1,0
Afterlife Games,2016,2,0
Afterthought LLC,2015,1,0
Afterthought Studios,2016,1,0
Afterthought Studios,2017,6,0
Agar3s,2017,1,0
"Agency Principle,Purple Pwny Studios",2017,1,0
Ageod,2011,4,0
Ageod,2012,2,0
Ageod,2013,3,0
Ageod,2014,4,0
Ageod,2015,4,0
"Ageod,HQ",2015,1,0
Aggressive Combustion,2017,1,0
Aggroblakh,2016,1,0
Aggroblakh,2017,1,0
Agharta Studio,2013,1,0
Aghayeva and Ko s.r.o.,2017,1,0
Agrostemma,2016,1,0
AirWave Games,2017,1,0
Airborne Games,2017,1,0
Airship Syndicate,2017,2,0
Airtight Games,2010,1,0
Airtight Games,2012,4,0
Airtight Games,2014,1,0
Airwolt,2016,1,0
Aist,2016,2,0
Aivaras Ivoškus,2016,1,0
Aivaras Klimas,2016,1,0
Akakiy Petrushkin,2015,1,0
Akakiy Petrushkin,2016,1,0
Akella,2014,1,0
"Akella,.dat",2010,1,0
"Akella,.dat",2011,1,0
Akimbo Creations,2017,1,0
Akonta band,2017,1,0
Akumu Games,2016,1,0
Akumu Games,2017,1,0
AlPixel Games,2015,1,0
"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason",2015,1,1
Alabeo,2015,5,0
Alabeo,2016,3,0
Alabeo,2017,1,0
Alain Perrin,2017,1,0
Alakhaine Specialist Consulting Limited,2017,2,0
Alan Edwardes,2014,1,1
Alan Edwardes,2017,1,1
"Alan Hazelden,Benjamin Davis",2015,1,0
"Alan Hazelden,Harry Lee",2014,1,0
Alan Zucconi,2015,2,0
"Alasdair Beckett-King,Application Systems Heidelberg",2016,1,0
Alastair John Jack,2014,1,0
Alawar,2007,1,0
Alawar,2008,1,0
Alawar,2009,2,0
Alawar,2010,1,0
Alawar,2012,1,0
Alawar,2013,2,0
Alawar,2014,1,0
Alawar,2015,3,0
Alawar,2016,1,0
Alawar Dreamdale,2013,2,0
Alawar Entertainment,2011,4,0
Alawar Entertainment,2013,4,0
Alawar Entertainment,2014,2,0
Alawar Entertainment,2015,3,0
Alawar Entertainment,2016,2,0
Alawar Entertainment,2017,1,0
"Alawar Entertainment,Amegami",2013,1,0
"Alawar Entertainment,Toyman Interactive",2013,1,0
Alawar Five-BN,2013,1,0
Alawar Friday's Games,2014,1,0
Alawar Stargaze,2011,1,0
Alawar Stargaze,2013,1,0
Alawar Stargaze,2016,1,0
"Alawar Stargaze,Alawar Entertainment",2015,2,0
"Alawar,Mirball Games",2013,1,0
"Alawar,Whalebox Studio",2014,1,0
Albatros Softworks,2017,8,3
Albatross Wirehead,2017,1,0
Alberto Santiago,2017,1,0
Albin Bernhardsson,2017,1,0
Alchemist Studio,2016,1,0
AlcoholEnthusiast,2017,1,0
Alda Games,2015,1,0
Alder Games,2012,1,0
Alder Games,2013,1,0
Alder Games,2017,2,0
Aldorlea Games,2010,1,0
Aldorlea Games,2014,7,0
Aldorlea Games,2015,20,0
Aldorlea Games,2016,4,0
Aldorlea Games,2017,4,0
"Alec Smith,Dane Winn",2016,1,0
Aleksandar Dakic,2017,1,0
Aleksandar Kuzmanovic Games,2017,1,0
Aleksander Ciesielski,2015,1,0
Aleksandr Golovkin,2017,1,0
Aleksandr Kotukhov,2017,1,0
"Aleksandr Soldatov,Leonid Kozhushko",2017,2,1
Alekseev,2016,1,0
Alekseev,2017,1,0
Aleksey Abramenko,2012,1,0
Alessandro Guzzo,2017,1,0
Alex Hall,2017,1,0
Alex Hanson-White,2016,1,0
Alex Jedraszczak,2014,1,0
Alex Piola,2015,1,0
Alex Williams,2016,1,1
Alex Woodcock,2015,1,0
Alex Zhang,2015,1,0
Alex's Daddy,2017,1,0
"Alexander Ahura,Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,1,0
Alexander Benedict,2017,1,0
Alexander Bruce,2013,1,0
Alexander Byzov,2015,2,0
Alexander Byzov,2016,3,0
Alexander Byzov,2017,5,0
Alexander Goodwin,2017,1,0
Alexander Kov,2016,1,0
Alexander Mirdzveli,2015,1,0
Alexander Shvab,2017,1,0
Alexander Spillman,2017,1,0
Alexandr Kataev,2016,1,0
"Alexandr Lavelin,Evgeny Shcherbakov",2016,1,0
Alexandr Shvab,2017,1,0
"Alexandru C.,Vector 7",2017,1,0
"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2016,4,0
"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment",2017,2,0
"Alexey Bokulev,Snowbird Games",2009,1,0
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2015,2,0
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",2016,1,0
Alexey Glinskiy,2016,1,0
Alexey Glinskiy,2017,5,0
Alexey Kargin,2017,1,0
"Alexey Khazov,Cristian Ionescu,Lars van Dorenvanck,Brandon van Doorn,Joran Vergoessen,Admir Leka",2016,1,0
Alexey Roenko,2016,1,0
Alexey Volonsky,2017,3,0
Alfred Lam,2012,1,0
Aliasworlds Entertainment,2009,1,0
"Aliasworlds,Amegami,Rionix,Melesta",2016,1,0
Alice &amp; Smith,2015,4,0
Alice &amp; Smith,2016,3,0
Alice &amp; Smith,2017,2,1
Alien Jellyfish,2017,1,0
Alien Mind,2017,1,0
Alien Octopus Studio,2013,1,0
Alien Pixel Studios,2016,2,1
Alien Sync Interactive,2015,1,0
Alientrap,2011,1,0
Alientrap,2015,4,1
Alientrap,2017,3,0
AlikArt Studio,2015,1,0
Alina Digital,2016,2,1
Alina Digital,2017,2,0
Alister Software,2015,1,0
Alister Software,2016,1,0
Alister Software,2017,1,0
Alkemi,2017,1,0
All Aboard,2009,2,0
All Aboard,2010,1,0
All Aboard,2012,1,0
All Civilized Planets,2015,1,0
All Seeing Eye Games,2015,1,0
All Seeing Eye Games,2016,2,0
All Seeing Eye Games,2017,1,0
All Those Moments,2017,1,0
"AllSol,Unknown Hero",2017,1,0
Allegorithmic,2014,2,0
Allegorithmic,2016,1,0
Allegorithmic,2017,3,0
"Allegorithmic,The Foundry",2016,1,1
Allen Dayan,2016,1,0
Allgraf,2013,1,0
Allicorn Games,2015,2,0
Allied Games Inc.,2016,1,0
Allods Team,2017,9,2
"Allods Team,Mail.Ru Group",2009,1,0
Allusio,2016,1,0
Almighty Games,2016,1,0
Almighty Games,2017,1,0
Almost Human Games,2012,1,0
Almost Human Games,2014,1,0
"Alonzu,@alonzubin",2016,1,0
Alp Güleç,2016,1,0
Alpha Pack Studios,2017,1,0
Alpha Strike Games Limited,2017,1,0
Alpha Wave Entertainment,2016,1,0
Alpha72 Games,2007,1,0
AlphaNuts,2014,1,0
Alpheratz*,2016,1,0
Alrauna Studios,2015,1,0
AltImage Games,2015,1,0
Altai Game Studio,2017,1,0
Altar Games,2001,1,0
Altar Games,2007,2,0
Altar Interactive,2003,1,0
AlternativaPlatform,2017,7,2
Alternative Dreams,2016,1,0
Alternative Dreams Studios,2016,1,0
Alternative Software Ltd,2014,2,0
Alternative Software Ltd,2015,3,0
Alternative Software Ltd,2016,1,0
Alternative Software Ltd,2017,2,0
Altfuture,2016,1,0
AlyStudio,2017,1,0
Alyssium,2017,1,0
Alysson Moraes,2017,2,0
Amanita Design,2009,2,0
Amanita Design,2012,1,0
Amanita Design,2016,3,1
Amanita Design,2017,1,0
Amaranth Games,2016,1,0
"Amaranth Games, LLC",2014,2,0
"Amaranth Games, LLC",2015,2,0
"Amaranth Games, LLC",2016,1,0
Amaterasu Software,2016,4,0
Amaterasu Software,2017,8,0
Amazastrophic,2017,1,0
Amazu Media,2017,2,0
AmberTail,2017,1,0
Ambiera,2016,1,0
Ambiera,2017,1,0
Ambiera e.U.,2015,3,0
Ameet Sharma,2017,1,0
Amegami,2016,1,0
Americo Mateus Rodrigues,2016,1,0
Amethyst Quarter,2015,1,0
Ametist studio,2017,1,0
"Amidos,Big O",2012,1,1
"Amidos,Big O,Bauer",2012,1,1
Amilton Neves,2017,1,0
Amkonius Games,2017,1,0
Amplecti Chao,2017,1,0
Amund Farifteh,2015,1,0
AnRaEl,2016,1,0
Anamik Majumdar,2016,1,0
Anarchy Enterprises,2007,1,0
Anarchy Enterprises,2015,5,0
Anarchy Enterprises,2016,1,0
Anarchy Interactive,2015,1,0
Anarkis Gaming,2016,1,0
Anarteam,2016,2,0
"Anatola Howard,Duncan Cross",2017,1,0
Anatoliy Loginovskikh,2016,6,0
Anatoliy Loginovskikh,2017,4,0
Anatoly Konstantinov,2017,1,0
Anawiki Games,2016,3,0
Anawiki Games,2017,5,0
Ancestral Quest,2017,1,0
"Anchora Games,Dream Harvesters",2016,1,1
Andrade Games,2016,2,0
Andras Beck,2016,1,0
"Andre Chagas Silva,Anthony Septim",2015,2,0
Andreas Ammer,2017,1,0
Andreas Britten,2016,2,0
Andreil Game,2016,1,0
Andrettin,2015,1,1
Andrettin,2016,2,0
Andrettin,2017,1,0
"Andrew ""Versus"" Larionov",2017,1,0
Andrew Brady,2016,1,0
Andrew Gilmour,2016,2,0
Andrew Higgins,2017,1,0
Andrew Hulshult,2015,1,0
Andrew Morrish,2013,1,0
Andrew Morrish,2017,1,0
Andrew Rodenhiser,2017,1,1
Andrew Rowe,2015,1,0
Andrew Rowe,2017,1,0
Andrew Ryan Henke,2017,2,0
Andrew Smith,2017,1,0
Andrew Willman,2016,1,0
"AndrewDrumov, Sanke Berdochan",2015,1,0
"AndrewMD5,Codeusa",2015,2,0
Andrey Haritonov,2017,1,0
Andrey Malyarov,2016,1,0
Andrii Vintsevych,2009,1,1
Andrii Vintsevych,2015,1,0
Andrii Vintsevych,2017,1,1
André Bertaglia,2016,7,1
André Bertaglia,2017,5,0
Andy Howard Games,2017,1,0
Andy Jurko,2016,4,0
Andy Jurko (Match Gems),2016,1,0
Andy Wallace,2015,1,0
Andy Wallace,2016,1,0
"Andy Wallace,Nathaniel Chambers",2015,1,0
Anea_Duo_Dev,2016,1,0
Angel Carriola,2017,1,0
Angel Iliev Hrisimov,2016,1,0
Angel T,2017,1,0
"Angels Blue Digital Entertainment,DigitalEZ",2012,1,0
"Angels Blue Digital Entertainment,DigitalEZ",2015,2,0
"Angels Blue Digital Entertainment,DigitalEZ",2016,1,0
"Angels Blue Digital Entertainment,DigitalEZ",2017,2,0
"Angry Hangar Games, LLC",2016,1,0
Angry Mob Games,2017,1,0
AngryAngelGames,2016,2,0
Anima Chambers,2018,1,0
Anima Locus,2015,1,0
Anima Project,2016,2,0
Animation Arts,2009,2,0
Animation Arts,2010,1,0
Animation Arts,2012,1,0
Animation Arts,2013,1,0
Animation Arts Creative GmbH,2016,1,0
Animation Arts GmbH,2015,1,0
Animation Catalyst,2015,1,0
Animation F/X,1994,1,0
Anime Hearts,2016,1,0
Anime squad,2017,1,0
Animu Game,2015,3,0
Animus Interactive Inc,2016,1,1
Anino Games,2016,2,0
Aniode,2015,1,0
Anisoptera Games,2015,1,0
"Anisoptera Games,Peaks",2015,1,0
Ankama,2012,1,0
Ankama Play,2013,1,0
Ankama Studio,2014,4,1
Ankama Studio,2015,11,1
Ankama Studio,2016,6,1
Ankama Studio,2017,3,1
Another Noname,2017,1,0
Another Reality,2016,1,0
Anothink,2015,1,0
Ansimuz Games,2014,1,0
Ant Workshop Ltd,2016,2,0
Antab Studio,2017,1,0
"Antanas Marcelionis,Renė Petrulienė",2016,1,0
"Antaria, LLC",2017,1,0
Antarsoft,2016,1,0
Anteater Games,2015,1,0
Anthony @ POW Games,2015,1,0
Anthony Case,2014,2,0
Anthony Case,2015,1,0
Anthony KOZAK,2016,1,0
Anti Crunch Studios,2016,2,0
Anti Gravity Game Studios,2017,1,0
Anti-Ded GameDev,2016,1,0
Anti-Ded GameDev,2017,2,0
Anticto,2016,2,1
Antimatter Games,2017,1,0
"Antimatter Games,Tripwire Interactive",2017,3,0
Antiproto,2015,1,0
Antizero company,2016,1,0
Antizero company,2017,1,0
Antoine Bilodeau,2016,1,0
Anton Gerdelan,2016,2,1
Anton Riot,2016,2,0
Anton Riot,2017,1,1
Anton Shatalov,2017,1,1
Antonio Renna,2015,1,0
Antonio Renna,2016,2,1
Antonio Renna,2017,2,0
Antropi,2017,1,0
Antti Vaihia,2016,1,0
Antuan Johnson,2016,1,0
Anuman Interactive,2015,1,0
