user_id,total_items,total_spent
1214551565454556,4,8.9
121478,129,1660.87
121598558,9,0.0
12223536,177,2142.56
122249_700b,38,327.64
122799,17,54.97
123123123131231231,43,295.87
12312312332123,31,219.75
12312341244123,50,542.55
1231343263534243534,48,549.55
123232343432555686888554456555,65,637.56
1232999,64,732.67
12332165478953761,59,772.41
1233451231252123,77,204.91
1233zaazen,33,399.7
12341008,3,23.89
12341846,28,310.67
1234321115,46,524.68
1234455565,2,19.99
12345123456,33,312.82
1234567124567,38,444.75
12345676543456789098543,73,451.6
1234567810132,48,144.85
123456787654329,131,1614.6
12345678901234567890123456567890,206,2892.15
1234567890192837465,98,883.3
1234567890qweccrtht,41,386.69
1234567890qwertyuiop,4,34.98
12345678910123,2,13.89
12345678910a,81,1203.98
1234567898354127873,10,44.95
123456789874561232145678,269,2887.67
123456789_Kappa,37,410.25
123456789diamond987654321,71,714.43
1234567io9872345678765432,155,1396.66
12345gh,17,204.92
1234865654,76,481.43
1234derpaa,44,434.73
12391939123,124,866.58
12398uf8jg21390,35,348.36
12399017,25,169.73
123abc321,2,0.0
123abccba,91,1070.99
123amazing123,48,329.74
123curssin123,52,463.19
123franz789,15,54.97
123joshua321,87,954.19
123repulseMe,137,1123.93
123sharpshooter123,2,0.0
1242163634531636,2,9.98
12435674325tyughnb,43,489.62
12435gg,107,549.96
124653tf,8,129.97
124681,3,19.99
1249012512908890112890,75,758.97
124c7937,2,0.0
12524,81,334.39
12536475869trhgsdf,99,595.05
12549,64,228.87
12779,105,815.26
128463821947,10,69.97
12874175635ELITE,2,13.89
128bitbit,81,153.8
1294120970512,49,515.67
129874182,155,1793.45
12DeAgostoAs12HRSe26MIN,35,289.68
12_gauge_org,48,310.67
12das,20,44.96
1300655506nigga,41,321.62
13012,128,1383.89
131312,135,1769.52
1313Lcf,144,2034.54
131467132,56,453.76
13199708,139,1903.89
1321742413,66,261.63
132413244231,43,376.76
13272310,28,93.87
13371337133713337,18,144.96
133742069174,95,1051.29
1337666133766613376661337,113,1406.03
133774553644535355354,5,9.99
1337Akraken,110,1162.24
1337_K_REW,38,84.95
1337_Speak,269,2656.82
1337hunter,67,627.3
1337leetSloth,3,39.97
1337lolroflmao,197,2006.27
1337mlg,103,522.23
1337putin,91,1842.92
1343534566,23,236.75
13457856281,42,317.76
1345adfg,8,0.0
134679jc333,17,64.95
135781,63,913.44
1373648137417,176,1650.64
137731251236671466147,371,5320.9
13971397,222,2871.1
1398199813,3,9.99
13lazer,398,5604.97
13omadragon,33,224.88
13salva,61,598.61
1408129010,31,244.89
142331415,179,1724.54
142412412124142,3,0.0
14372193,111,389.29
143865,62,419.76
1440454,70,665.27
144289919655093823,48,521.53
1452221660414,140,1734.41
1454235887,3,0.0
145578,94,1048.74
1456237,34,412.74
1457184935981,27,190.67
146847798098,29,85.56
14725836900,17,134.91
14747,180,1914.36
147532984,99,951.19
147751,12,202.86
14789633698741,348,4589.9
148203604,7,8.9
150010792,113,219.12
150230,152,1904.39
1513412123111331,17,147.85
151995,41,143.81
1522188745,83,565.41
1540359,14,84.86
154352,87,471.41
1546328127418,27,347.67
154930493,38,427.82
15511551,156,1158.68
155754572,21,123.83
15632897,255,3282.78
157645,487,4883.39
15832789427,102,1108.27
1591240764,101,403.69
15934,124,1708.02
159zse159,377,5088.13
1607426135,14,39.96
1626466724893520,64,593.58
163050995,13,0.0
16362426247,68,528.6
16395,11,59.96
16538,138,2506.62
16748438,21,274.88
169420666,53,345.52
17-04-2000,90,566.57
17101710,134,1476.72
1711338513531,28,210.85
171516,196,1606.44
1726432,12,189.96
17291799,19,181.61
172954833,24,8.9
173902,2,9.99
1739902091026,79,302.39
174561864923145,51,466.61
174gamecuman700kngkakak,159,1355.89
17731773,47,310.71
177652,24,494.76
17829463213,69,442.59
1800-Ricohut,121,1028.21
1800FkMyVajj,7,14.99
18023009,2,14.99
180577,66,601.37
18082001,105,729.75
18228272828,153,1690.49
182748927838783778382,21,138.69
182828282,44,493.6
18283848,72,985.39
1829369648,2,0.0
18481,154,2143.68
1850172512752815,28,147.41
18504965711,80,1046.44
1859082899,17,68.95
1870380085,43,325.48
1873410337,39,393.72
1875489156748,52,395.63
187625,121,422.31
18855881,204,3022.04
1889999999999999,35,267.7
19-20-5-20-27-5-18,32,163.78
190120001826,2,0.0
1920410,87,1126.11
19210801,51,247.54
1922001,94,527.89
1930234,82,618.38
19365,103,1430.05
19372250,137,1972.79
1937648259137856lkjnoik,9,44.96
1944086851,14,73.85
1947CARROTS,26,104.93
194847383,135,963.22
1956aa1,113,1605.21
195862,69,634.54
19702316748,94,951.2
19720911,5,0.0
19820182123,13,178.84
1994dbc,207,2111.41
1997-07-06_J077,7,29.98
19990923,41,247.69
199A,27,138.91
19te_Polska,70,993.32
1BUCK80,32,329.86
1GN33L,20,224.88
1MLG2U,59,359.47
1NFR33,196,1961.69
1R1M1,52,341.53
1UK33Y,30,359.78
1_Taipan,25,361.83
1a1u14,76,383.53
1dog636,104,1060.02
1epicninja,91,1021.12
1iam1iam1iam,70,813.59
1jamesn4,82,939.3
1qaz2wwx010,23,44.97
1silentsniper1,319,3664.56
1snap,179,2005.21
1stBLUE-COW,52,351.67
1stpionpaul,162,2111.17
1sttperson,42,388.67
1v1meguy,245,3258.56
1v1meinclubpenguinscrub,28,334.81
1v1mim8,70,667.45
2000jtc,60,697.55
2001911,4,9.99
200220006,139,1843.91
20041213,27,28.88
200719917302,59,808.51
200px-spy-taunt-laugh,18,78.85
2011368123,252,3132.8
20115011,4,9.99
205723552,15,29.98
2080308,85,758.06
2092000666,31,174.76
210519992016,84,611.38
21072013,21,39.98
211011374,32,529.77
21129393,9,34.97
2114521846341684,13,149.91
2121312,17,43.87
2125125126,6,43.87
212blair212,17,104.92
213123123132,200,603.01
21321112399,13,189.91
2139093311,7,18.89
215251,35,321.73
216712138,92,901.33
218939137821738213127983,92,620.39
219121912191,13,44.97
21lord21drag,5,59.97
22109203,98,698.79
222081994,26,328.66
2222224444555985,35,222.69
2222455,131,1481.47
2233dog15,17,265.89
22491987,51,307.83
22502250,77,886.46
225544,72,801.19
225555,17,213.68
226rep,10,168.84
2271531450,25,98.8
2293371488,47,243.08
23012003,18,94.94
231091,184,2668.37
2311985201258745633313,37,380.72
231321455,60,292.61
23142433253545,122,1275.93
23184798,32,106.81
2323534545,158,1352.44
233433,8,22.98
2342526,52,642.44
23434454365463446754546576e45646,99,756.45
2345XXXXX,52,322.64
234671,28,158.78
235269,88,1125.74
235324234732,27,264.66
2364786499,49,609.52
23745736,74,436.58
2378695,2,34.98
2390746539217,23,360.86
23974656456,84,714.55
2398,22,226.62
23Batman05,145,1363.83
23jesus23,70,628.54
24045681579016271,15,29.97
24101738,34,68.89
243567890,7,44.97
2435689,76,660.41
2435764824567835,26,149.9
24453,74,1114.4
2448531,80,423.21
24532453,134,1211.87
24596,121,846.5
24681256447,11,76.85
246823,25,265.85
247211,154,1496.44
2479742,106,1390.92
248392584,7,30.96
248482,277,2835.29
24862345243,49,696.64
24902,45,436.68
249758,181,3333.92
24BallerJK,9,39.97
24CmRuler,77,867.4
25050,99,940.94
25061841,15,179.79
25230405,98,1007.18
25231341243,34,218.84
2539428377924,106,858.08
256565,18,201.68
2571,690,8292.76
259987556434546,121,1136.47
25_Years_Since_Freddie,30,309.81
26070,36,484.63
2608739,5,24.98
26292919,94,608.4
2647891,8,39.97
2688789326887893,73,254.78
269485,284,3838.23
27073108,106,1267.87
27601MCM,58,331.47
27649735,2,0.0
2768820078,91,1568.05
279519365,127,1138.87
27dnguyen,29,226.77
28019769,124,2267.59
2826,7,110.94
2891723967123,160,2041.42
28yelkco,32,219.84
29017637452801,86,505.44
291129112911291129112911,68,498.55
29123,18,128.83
2933725,2,0.0
2987654235,8,15.98
29998000,46,282.62
2Chill,122,1202.96
2Degrees,82,1156.22
2EzRogueDH,12,99.96
2JZEEEEBABY,61,895.33
2Lethal,117,1299.86
2Ryo2Know,29,217.85
2Ta4,362,3436.81
2ZESTY4ME,82,429.65
2amigosupremos753,1,0.0
2cq,898,9284.0
2d4nk4m3,160,741.84
2edgy4youboi,84,808.27
2ez2xl,79,744.28
2ez4medick,32,382.74
2fast4u271,39,265.66
2g00d4u,14,109.82
2greasy,33,452.51
2ik4tf,22,165.86
2kewl4you,9,19.99
2lstgun,31,237.84
2matoe,24,150.87
2muchred,149,1670.74
2nerdssemvida,101,205.58
2pacisaliveincuba,303,3552.07
2ptwisted,18,131.94
2red12,151,1787.85
2sBs,219,2491.27
2sd31,11,179.8
2seggy4um8havalook,10,54.97
2she,57,506.36
2sneaky5u,291,3150.75
2spookis,199,1644.11
2spooky,323,3919.75
2unimaginative4u,23,40.96
2v1meyoucheekyscrub,42,559.75
2xDelorean,55,439.7
30035115,97,1362.17
300799,14,24.98
30102002,33,176.23
3021Daniel,105,1397.92
3038070,5,34.98
3046123,70,875.29
305010,67,909.21
30699,29,214.91
30XxPikachuxX03,3,0.0
313134,378,4568.7
314155156915923,36,266.55
31456576727471577757175717,21,39.97
31575,73,193.7
317733235,58,372.42
317984739321,75,481.61
317jim,15,14.99
318941651,42,279.71
3197,44,476.57
320RustPro,11,29.97
3214213216,107,233.09
321541,26,253.81
3218998529,2,19.98
3265899423,66,446.6
326759263846544,294,1940.61
329838102,19,58.86
32bitmaximus,79,1124.19
33275,9,69.95
333333259,15,138.83
33334scat,59,432.76
333666333111,24,245.86
333hab,234,2458.07
33442,7,14.99
334756875,111,619.39
34234252sd,16,67.76
3423523425433425,118,1579.78
343221221,52,604.29
34324132,41,605.58
343574890,27,226.87
34383536,14,117.42
343rox,18,208.67
3456457568,90,742.28
34565754,28,384.84
3456669133723,9,49.96
345675,180,2285.57
34568535890075433578,44,527.76
34573671264yi,92,675.15
345827357205098,31,208.77
3496148694969,132,1673.28
350176,32,240.85
350241,184,2278.79
352039981386723,30,384.77
3523436346,99,1252.13
35353534,29,299.61
35475,161,2241.01
3548548564856498484894,149,1821.87
3565Jason,22,179.91
36033,32,189.63
360NoScopeMLGBLAZEGirlGamer69,10,84.94
360j1mmy,314,4033.96
3635,101,392.5
363997099,8,59.97
36864,22,333.78
369231461278416,127,846.24
36_T,259,3391.47
373848099,99,825.22
37755753,136,1814.7
378366354,69,630.57
37891266723,144,1450.63
380012,16,213.87
381644,84,971.19
38174962156174513,25,364.88
38189307,20,178.83
387561,18,246.56
38927497,725,8327.56
38y685ie4e89r78,13,73.86
391204566,89,1343.1
3Ldota,6,29.98
3dster,113,1157.09
3eBpA,140,1093.71
3lAckCAt,114,875.26
3mike,106,1278.91
3mperi0,41,453.42
3nv3y,139,1884.53
3ring,24,155.75
3stantedja,6,23.89
3teGZ_Rorschach,70,1132.38
3th3,66,261.44
3vild33d,41,499.6
3xU,146,1489.88
3xc4l18urblue,76,820.19
3xotic26,153,1963.63
400primetopkeks,18,151.87
4017209381,10,19.99
402553929,54,525.52
4043RROR,91,898.37
404PlayerNotFound,86,992.28
404ok4561687987879847,16,109.94
4131723314123,33,148.82
414291,40,287.8
41781029,51,376.57
4200769711,26,139.89
4201,31,483.75
4202346,73,586.38
420BlazeItMLG,23,42.77
420Blz,199,2362.39
420BlzeIT,40,224.83
420DankMasterKush420,102,879.69
420NigelGaming420,48,324.77
420_Blaze_It_Fgt,18,8.9
420believe,43,461.37
420blazedondaweedguyz,29,239.85
420blazefag00t,5,94.97
420blazeitbitches,22,255.81
420blaznnoscope,30,125.8
420box,137,1511.82
420cheekycunt,14,89.93
420dankmemer,53,489.42
420fedora,92,1047.05
420gandalfyoda,36,513.63
420haybale,18,87.94
420lol420,31,83.85
420slender,32,322.79
4234213234124,20,59.95
42456,9,54.84
42654264,24,207.94
42978717,217,2657.26
42rsfw42efwrwr,29,168.87
4301945,13,63.93
4321louis,70,535.01
4324434,19,119.8
434238948,80,302.11
434546464,76,929.24
44196,140,1884.53
442199,4,23.89
44290,34,195.87
4432XABLAU,204,1581.27
4454664,76,908.4
4456829,36,299.75
44579,47,408.6
44845991789,25,319.59
44925952,10,79.94
452213,3,14.99
45236243663663643636,45,684.63
45378665,3,19.99
4545451111,38,84.97
4545648,8,33.87
454575878752,12,18.98
45514551,70,456.72
45544554455445,91,922.38
45622hd,3,14.98
4563453467436754656677,8,107.96
4564231564,38,485.49
4567cabi,45,387.6
45685748567857,58,499.69
45748930,21,37.78
45826755958,40,544.81
458768,64,457.57
458769873675,7,117.94
45883274,275,3104.46
45979,3,0.0
46366536564574576346346546,192,709.6
4687843213132,12,122.9
4735736754,16,64.96
47444744,6,53.87
47DollarsInMyBankAccount,73,923.15
47enth,224,2843.37
4801,70,851.21
4805766,4,0.0
48226746,123,1635.82
483752394756293478563845,10,19.98
486259317,94,648.09
4Elementals,19,11.99
4KnightArtorias,39,18.89
4RCH4NG3Ll,173,1337.69
4_5C12U13,127,1499.62
4bigs,2,9.99
4d1t,23,400.66
4hwei,187,1649.49
4i20swagyolo69,24,136.75
4loreseeker,31,112.32
4mrtm,127,742.56
4n0m4ly,78,1012.97
4n631,51,634.69
4nti-y0u,116,1513.89
4op2U,89,657.1
4p4ch3,48,547.32
4skin5head,53,688.39
4tiles,20,327.83
50899161,213,2234.02
51041,47,493.62
51134243,95,946.07
512356,518,4246.84
51252151215512,74,559.23
512am,38,361.51
513659145,8,95.95
51564210333,81,528.59
519130312,100,646.46
519348245,71,239.64
51centcorn,299,2896.83
51jets,28,135.79
527788235,245,2724.79
53071407,26,354.87
53112195114,51,378.63
5318064,50,774.31
5343039,204,3675.79
535346456636,83,257.64
53774,178,2485.49
5400540054005400,101,1249.26
54263144,35,278.78
54321DrOpThEbAsS,19,215.84
5438910,25,98.84
544183980,133,1592.01
544542132154524145,33,25.78
54494292,23,94.93
5453V3,17,113.91
54546545,89,874.14
54678907652,71,699.39
5469782134896,351,4067.88
548547248072804,74,772.16
54Strat,57,623.61
54r93,199,3012.91
550455,16,8.9
554076033,14,154.95
55432147,133,666.22
5554Grovesy,91,1073.32
5564321,23,139.92
558092,53,342.64
564743553uy5367,52,493.63
567234,61,475.72
56745879956,6,0.0
56748930,34,319.8
5678LetMeCyaBootyShake,100,835.2
5692496235797644,107,1299.98
5739108,101,1163.25
57841325,37,276.05
5790870877878,12,8.9
579132657905,10,54.96
58077979,40,220.67
58254410,170,1574.32
58291756,1,4.99
5856565456564,104,1044.05
58981044,92,522.49
5901,65,701.23
59285912859,52,503.44
5975,241,2963.94
5LuG,23,184.87
5car3crow,99,1241.22
5h0tL3s5,72,917.39
5nakebit3,42,428.66
5p1ca,83,1036.4
5spooky420me,24,196.88
5yearoldrexrex111,122,1320.94
60324133769,87,641.17
6060548,95,1162.28
60sSpiderman,15,49.95
61241571,21,154.91
61428,26,219.76
616333,77,76.36
61782,69,519.56
618554,30,184.88
6294421419,116,872.17
63246555,26,77.75
6344143214,3,9.99
63718432421321321312,74,335.43
63Hayden,150,1334.3
6435677448,43,480.66
64512328,131,1006.14
64574574574744,36,179.86
64723864,221,2403.12
650326,12,86.94
6524696969,47,372.78
653448,154,1880.38
6545_Sniffler,49,1369.33
65464684,179,1761.85
65711642,48,609.24
657475591245,138,1777.46
6592,335,3844.93
66083299,30,368.78
66113860,41,509.75
666101,236,3367.24
66666669999999,121,1312.78
666999661,25,199.81
666NeCrO,505,6419.25
666slayerr666,133,1159.08
66839427,88,985.31
66d,78,816.87
66ot,54,494.54
67162763,90,378.49
6738497298564377854673421,128,1001.18
67712702,14,64.95
678rtv45,35,203.76
679gog,54,571.53
67samjosh,59,601.35
68496742234,178,2066.2
6871,110,1000.03
69133709,34,309.69
69222518,116,679.07
692412341234,28,78.73
6935,168,1860.51
694201337694201337,51,192.67
696969696969699,38,389.94
696969697,293,3570.21
697235,22,192.69
698959,97,1145.16
69_420_bl41e_fgt,85,869.15
69bmw,34,245.86
69doggystyle,100,737.09
69madman,18,111.89
6C_Troll,33,357.78
6dighero,337,4102.13
6ex6ex6ex,82,833.24
6golf6,11,84.94
6teencarz,84,941.23
70293553,6,54.96
71124,60,568.44
711armageddoncarmageddon,96,804.08
7122456,28,79.95
71251241,100,349.56
7225eternally,10,59.96
72345,1,14.99
72345436754433546,140,1087.04
723943123,53,517.52
72947282842,2,34.98
735102120,9,14.99
737911,198,810.36
739567275,136,981.94
739749287981,38,163.25
740449400,28,333.72
74345,207,2367.76
743748734,19,74.98
7466NHK,54,154.44
748237482374284792,132,400.1
74987000,57,420.62
750805,690,8392.98
7515953,56,447.67
75498,37,290.67
756755557153145,119,1110.7
75791513,28,154.85
75k12,99,1207.27
76415,34,241.56
76561193688520497,57,621.36
76561197960271609,30,257.59
76561197960277635,42,443.54
76561197960279587,37,421.61
76561197960279912,36,434.6
76561197960281419,26,263.68
76561197960285738,16,134.87
76561197960285909,24,224.84
76561197960286077,13,108.78
76561197960286950,184,1916.48
76561197960288186,254,3778.58
76561197960295773,14,128.77
76561197960298230,71,748.4
76561197960299496,28,368.65
76561197960301970,96,1544.86
76561197960324641,1168,13345.09
76561197960324664,33,264.65
76561197960324928,78,1245.25
76561197960333283,24,198.59
76561197960339094,17,109.76
76561197960364170,47,494.52
76561197960366346,63,635.54
76561197960390517,75,994.33
76561197960425229,94,1385.13
76561197960426941,47,484.57
76561197960438497,21,178.72
76561197960453899,34,398.65
76561197960454309,64,944.47
76561197960459970,34,372.63
76561197960461312,77,1027.33
76561197960462807,10,59.91
76561197960467275,214,2425.35
76561197960468120,25,299.79
76561197960470293,18,148.75
76561197960471546,25,373.46
76561197960471761,51,549.46
76561197960478402,26,249.2
76561197960478966,36,396.49
76561197960481739,59,666.47
76561197960499156,8,49.92
76561197960508459,14,123.78
76561197960531365,16,153.76
76561197960541850,22,167.64
76561197960549169,199,2615.82
76561197960564189,56,676.49
76561197960565919,29,473.67
76561197960571317,68,605.36
76561197960572371,29,343.67
76561197960575139,85,1397.09
76561197960577481,167,2114.31
76561197960580457,16,129.75
76561197960589167,31,298.68
76561197960607334,29,263.67
76561197960608571,21,153.63
76561197960611419,21,194.83
76561197960617353,25,234.84
76561197960666461,17,94.89
76561197960693758,66,667.47
76561197960694096,187,2369.34
76561197960713250,207,2714.95
76561197960721600,31,311.64
76561197960721799,18,198.74
76561197960743001,17,74.9
76561197960799510,41,458.63
76561197960802408,25,199.69
76561197960802995,62,596.34
76561197960803312,56,531.45
76561197960811584,195,1924.65
76561197960811774,30,463.67
76561197960874012,19,323.74
76561197960877600,24,267.7
76561197960888883,40,479.59
76561197960891010,269,3423.08
76561197960946320,50,618.52
76561197960959352,33,469.62
76561197960959436,136,1605.06
76561197960962392,29,302.64
76561197960963799,98,978.05
76561197960971187,17,148.77
76561197961051810,170,1833.34
76561197961108717,87,1392.23
76561197961111954,24,213.72
76561197961118969,78,1129.33
76561197961124706,111,1481.87
76561197961157004,62,752.33
76561197961172553,164,1979.19
76561197961172915,153,1727.61
76561197961187815,24,192.72
76561197961216740,31,253.68
76561197961222930,22,223.71
76561197961234023,29,245.66
76561197961247707,95,1207.07
76561197961279828,33,309.66
76561197961316177,42,467.59
76561197961325529,80,1118.25
76561197961375322,24,204.7
76561197961448249,22,180.83
76561197961464265,74,626.4
76561197961465709,91,1253.03
76561197961527817,67,771.41
76561197961533298,319,3801.89
76561197961567943,74,1084.23
76561197961572037,17,88.8
76561197961612098,32,323.66
76561197961628243,140,1608.81
76561197961631213,69,678.07
76561197961637426,101,1174.68
76561197961643678,100,1254.16
76561197961648625,106,1383.95
76561197961663345,27,348.69
76561197961672116,90,979.25
76561197961702279,89,861.2
76561197961718947,34,374.75
76561197961739219,46,528.58
76561197961745322,16,171.84
76561197961823780,30,273.58
76561197961838528,18,258.66
76561197961840584,97,1125.18
76561197961857584,144,1711.58
76561197961860415,35,404.61
76561197961892438,93,1201.12
76561197961925195,24,193.74
76561197961948959,55,822.12
76561197961951233,12,74.9
76561197961979693,22,189.72
76561197962023392,30,363.69
76561197962025274,55,586.52
76561197962048866,130,1591.78
76561197962077181,29,187.81
76561197962080059,16,148.76
76561197962089166,17,118.77
76561197962104795,79,809.34
76561197962175536,28,261.68
76561197962197347,39,338.53
76561197962221247,80,1022.03
76561197962223765,15,129.85
76561197962298116,13,94.89
76561197962338878,45,452.5
76561197962414903,20,198.74
76561197962441411,30,319.78
76561197962448420,86,1093.19
76561197962604175,29,274.65
76561197962686639,44,615.64
76561197962728844,43,409.61
76561197962738675,64,804.51
76561197962755121,21,209.71
76561197962775018,77,988.14
76561197962862487,62,889.44
76561197962960302,126,1662.95
76561197963008605,9,49.92
76561197963038819,15,113.77
76561197963090949,24,259.83
76561197963130430,204,2515.03
76561197963206623,187,2423.38
76561197963219999,235,3299.62
76561197963262084,55,808.47
76561197963325844,19,189.85
76561197963338250,23,199.84
76561197963392788,40,476.72
76561197963401558,90,938.91
76561197963405974,98,1376.87
76561197963406032,29,259.66
76561197963420680,62,746.39
76561197963421102,19,159.73
76561197963429707,23,288.69
76561197963436918,114,1393.9
76561197963443099,44,518.57
76561197963443724,13,89.9
76561197963455626,276,3717.37
76561197963469414,211,2741.24
76561197963478502,59,530.53
76561197963485479,20,307.76
76561197963518361,13,74.9
76561197963518399,16,139.86
76561197963530842,23,166.53
76561197963532952,55,592.55
76561197963538874,52,505.4
76561197963549028,218,3242.67
76561197963584284,31,218.58
76561197963613344,29,234.68
76561197963638240,167,2140.54
76561197963746199,138,1203.86
76561197963759246,32,509.65
76561197963797456,105,1261.95
76561197963801702,51,671.07
76561197963914566,95,928.99
76561197963977595,89,993.23
76561197964050011,75,1120.13
76561197964072195,35,453.63
76561197964092053,150,2208.58
76561197964129564,148,1571.46
76561197964188781,257,3243.76
76561197964247504,36,334.77
76561197964286188,97,1318.11
76561197964301090,111,1764.84
76561197964310685,23,289.8
76561197964316999,251,3624.5
76561197964317648,434,4492.06
76561197964386329,32,309.76
76561197964386571,59,759.43
76561197964402427,121,1174.17
76561197964421738,136,1907.52
76561197964435063,82,1173.03
76561197964473354,25,248.7
76561197964542243,88,895.94
76561197964586074,66,935.41
76561197964656641,23,188.72
76561197964743118,42,499.58
76561197964743311,200,2590.96
76561197964753680,766,8625.69
76561197964772156,118,1222.16
76561197964876290,62,647.41
76561197964880950,205,2709.86
76561197964932511,8,49.92
76561197965036285,70,1099.28
76561197965059579,63,756.48
76561197965095468,83,984.74
76561197965096829,34,279.68
76561197965109264,672,7432.67
76561197965128569,66,801.38
76561197965139367,140,1917.74
76561197965144435,101,1423.9
76561197965157441,105,967.73
76561197965185036,84,989.15
76561197965205416,119,991.21
76561197965208032,325,3811.68
76561197965222957,26,294.8
76561197965224231,43,366.62
76561197965238303,25,199.7
76561197965240955,60,640.3
76561197965243099,28,283.55
76561197965245779,41,561.57
76561197965263006,218,2961.03
76561197965264721,24,138.75
76561197965265903,26,272.78
76561197965279916,61,426.51
76561197965281231,27,293.69
76561197965312871,117,1769.72
76561197965316354,20,194.72
76561197965316820,41,524.57
76561197965326033,163,2004.44
76561197965332011,31,270.74
76561197965355573,269,3127.16
76561197965359281,138,1037.62
76561197965370768,19,159.73
76561197965380720,85,926.17
76561197965444255,43,526.57
76561197965461199,121,1567.75
76561197965468767,33,414.64
76561197965494000,110,1164.09
76561197965557728,213,2928.97
76561197965631636,9,74.94
