user_id,total_items,total_spent,total_recom
0305089,97,614.24,0
03092002,24,273.68,1
03375616256,2,9.99,0
0402593613,6,19.98,0
04061993,214,1037.09,5
04092013,128,639.87,1
041112016,98,1388.16,0
0412734634,20,68.86,1
0412827540,27,149.9,0
042153100,118,1556.11,2
0421874858,31,369.48,0
04280122,113,1265.15,1
0432-026-no,14,79.93,1
04536829290339393838,28,148.68,0
0468313256,86,126.57,1
0488456,22,267.65,0
05041129,35,147.79,3
05461025,53,560.59,1
05511301,159,1591.62,0
05zhehan,16,89.95,0
066600,72,468.8,0
0700464574757,48,392.62,1
07846813956825,92,1165.21,2
0814551,48,185.78,0
0827777,11,0.99,0
0854029092,5,28.89,1
0862770364,23,157.82,0
0896398616,184,1195.86,2
0898786879898,7,69.96,0
08alross,313,4196.23,0
0903512455,41,208.75,2
09106,176,1247.66,4
091263,369,3169.77,9
092982943,28,94.93,0
0935659130,59,489.54,0
094553552,89,703.44,2
095732,30,179.86,3
095843067,239,2723.36,1
098765432108642,12,179.91,0
09876543231,25,215.83,1
098766catdogbnmnnn,42,227.84,3
09895749373554,33,354.64,0
0996633,56,615.59,0
0FI3MWAJS2849023N,36,336.77,0
0fficiaIfIaw,23,38.97,0
0nlyb0nes,22,224.91,0
0rangeZ3r0,29,143.88,0
0x0B00B135,59,523.4,0
0x426F,149,1742.72,0
1-800-Invisible,536,5873.67,0
10000000thVisitor,106,1114.08,1
1000000sdsd,22,59.96,0
100011101011,31,347.84,0
1000jaus,50,651.54,0
1001101001110101,286,3421.39,1
100355,50,533.56,0
10051997,130,1263.06,7
10101010101010109,307,3786.86,1
101010101111,42,391.7,1
101010102,8,79.83,0
1010102,45,250.54,0
101013483181348,7,14.99,0
1010231464,9,44.97,0
1011001,128,1237.06,10
1011010101101101010101,52,653.42,0
1011012001,14,49.96,0
101316,21,254.84,0
1016523030,6,8.9,1
101676057,29,279.76,0
10197226,36,285.63,1
101thegreenguy,98,1286.49,0
102547508,13,33.88,0
102598615,45,166.85,1
1032165460,7,64.95,0
1052218979baidu,21,242.86,0
10817,38,339.79,0
109284293753647,150,1842.9,0
10936543792,109,1056.03,2
10948278193,31,96.65,0
109leonidas,178,1859.65,0
10Degree,150,1358.63,5
10gp,21,169.89,0
10outof10matee,56,613.52,0
10oyard,20,209.88,1
11010011011,140,1617.99,0
1101167413,42,542.55,0
110211021,73,506.41,2
110321565469,76,831.88,0
1103703132946,65,736.44,1
111190869,62,830.24,1
111222333222111,28,279.82,0
111222333444555666888,52,607.37,7
11123xxx3122,10,59.95,0
11124,44,463.49,1
11141995,47,580.47,0
111s,242,2321.8,0
111zerosen,65,428.42,1
1122305938,177,2430.33,4
112asdasfasdasd,23,0.0,1
11345678,34,252.85,0
113595,76,1082.19,3
1136579070,82,686.59,1
11464789,37,306.78,0
11567jj,102,502.33,1
1163321,56,370.71,0
117007,15,129.92,0
117331,67,364.53,1
117a2,11,119.93,0
117arbiter,166,1674.38,6
11925219096,70,736.5,1
119922883377446655123456789,60,277.71,1
11XGX,215,2714.2,2
12021988,3,0.0,0
120445,120,962.46,1
120488700,21,282.71,1
12110604,16,194.89,0
1212343456567878909,33,358.61,2
12123871234989120,33,156.78,0
12125,126,1369.95,2
1214551565454556,4,8.9,0
121478,129,1660.87,0
121598558,9,0.0,0
12223536,177,2142.56,2
122249_700b,38,327.64,0
122799,17,54.97,0
123123123131231231,43,295.87,1
12312312332123,31,219.75,3
12312341244123,50,542.55,0
1231343263534243534,48,549.55,0
123232343432555686888554456555,65,637.56,1
1232999,64,732.67,0
12332165478953761,59,772.41,2
1233451231252123,77,204.91,0
1233zaazen,33,399.7,0
12341008,3,23.89,0
12341846,28,310.67,1
1234321115,46,524.68,0
1234455565,2,19.99,0
12345123456,33,312.82,0
1234567124567,38,444.75,0
12345676543456789098543,73,451.6,2
1234567810132,48,144.85,1
123456787654329,131,1614.6,0
12345678901234567890123456567890,206,2892.15,7
1234567890192837465,98,883.3,3
1234567890qweccrtht,41,386.69,0
1234567890qwertyuiop,4,34.98,0
12345678910123,2,13.89,0
12345678910a,81,1203.98,1
1234567898354127873,10,44.95,0
123456789874561232145678,269,2887.67,1
123456789_Kappa,37,410.25,0
123456789diamond987654321,71,714.43,1
1234567io9872345678765432,155,1396.66,8
12345gh,17,204.92,0
1234865654,76,481.43,1
1234derpaa,44,434.73,0
12391939123,124,866.58,2
12398uf8jg21390,35,348.36,1
12399017,25,169.73,0
123abc321,2,0.0,0
123abccba,91,1070.99,0
123amazing123,48,329.74,0
123curssin123,52,463.19,0
123franz789,15,54.97,0
123joshua321,87,954.19,1
123repulseMe,137,1123.93,3
123sharpshooter123,2,0.0,0
1242163634531636,2,9.98,0
12435674325tyughnb,43,489.62,0
12435gg,107,549.96,0
124653tf,8,129.97,0
124681,3,19.99,0
1249012512908890112890,75,758.97,0
124c7937,2,0.0,0
12524,81,334.39,0
12536475869trhgsdf,99,595.05,6
12549,64,228.87,0
12779,105,815.26,5
128463821947,10,69.97,0
12874175635ELITE,2,13.89,0
128bitbit,81,153.8,0
1294120970512,49,515.67,0
129874182,155,1793.45,2
12DeAgostoAs12HRSe26MIN,35,289.68,2
12_gauge_org,48,310.67,3
12das,20,44.96,2
1300655506nigga,41,321.62,2
13012,128,1383.89,0
131312,135,1769.52,9
1313Lcf,144,2034.54,0
131467132,56,453.76,1
13199708,139,1903.89,0
1321742413,66,261.63,5
132413244231,43,376.76,0
13272310,28,93.87,0
13371337133713337,18,144.96,0
133742069174,95,1051.29,1
1337666133766613376661337,113,1406.03,1
133774553644535355354,5,9.99,0
1337Akraken,110,1162.24,1
1337_K_REW,38,84.95,2
1337_Speak,269,2656.82,0
1337hunter,67,627.3,1
1337leetSloth,3,39.97,0
1337lolroflmao,197,2006.27,9
1337mlg,103,522.23,0
1337putin,91,1842.92,4
1343534566,23,236.75,3
13457856281,42,317.76,2
1345adfg,8,0.0,0
134679jc333,17,64.95,0
135781,63,913.44,8
1373648137417,176,1650.64,0
137731251236671466147,371,5320.9,0
13971397,222,2871.1,5
1398199813,3,9.99,0
13lazer,398,5604.97,1
13omadragon,33,224.88,0
13salva,61,598.61,0
1408129010,31,244.89,0
142331415,179,1724.54,0
142412412124142,3,0.0,0
14372193,111,389.29,2
143865,62,419.76,0
1440454,70,665.27,2
144289919655093823,48,521.53,0
1452221660414,140,1734.41,4
1454235887,3,0.0,0
145578,94,1048.74,1
1456237,34,412.74,0
1457184935981,27,190.67,4
146847798098,29,85.56,0
14725836900,17,134.91,1
14747,180,1914.36,0
147532984,99,951.19,1
147751,12,202.86,0
14789633698741,348,4589.9,0
148203604,7,8.9,0
150010792,113,219.12,2
150230,152,1904.39,0
1513412123111331,17,147.85,0
151995,41,143.81,0
1522188745,83,565.41,0
1540359,14,84.86,0
154352,87,471.41,4
1546328127418,27,347.67,2
154930493,38,427.82,2
15511551,156,1158.68,4
155754572,21,123.83,0
15632897,255,3282.78,0
157645,487,4883.39,1
15832789427,102,1108.27,2
1591240764,101,403.69,0
15934,124,1708.02,4
159zse159,377,5088.13,1
1607426135,14,39.96,0
1626466724893520,64,593.58,9
163050995,13,0.0,1
16362426247,68,528.6,0
16395,11,59.96,0
16538,138,2506.62,4
16748438,21,274.88,0
169420666,53,345.52,1
17-04-2000,90,566.57,0
17101710,134,1476.72,9
1711338513531,28,210.85,0
171516,196,1606.44,6
1726432,12,189.96,0
17291799,19,181.61,1
172954833,24,8.9,0
173902,2,9.99,0
1739902091026,79,302.39,1
174561864923145,51,466.61,0
174gamecuman700kngkakak,159,1355.89,6
17731773,47,310.71,0
177652,24,494.76,0
17829463213,69,442.59,2
1800-Ricohut,121,1028.21,6
1800FkMyVajj,7,14.99,0
18023009,2,14.99,0
180577,66,601.37,1
18082001,105,729.75,3
18228272828,153,1690.49,4
182748927838783778382,21,138.69,0
182828282,44,493.6,0
18283848,72,985.39,0
1829369648,2,0.0,0
18481,154,2143.68,2
1850172512752815,28,147.41,1
18504965711,80,1046.44,0
1859082899,17,68.95,0
1870380085,43,325.48,0
1873410337,39,393.72,9
1875489156748,52,395.63,1
187625,121,422.31,3
18855881,204,3022.04,0
1889999999999999,35,267.7,1
19-20-5-20-27-5-18,32,163.78,1
190120001826,2,0.0,0
1920410,87,1126.11,1
19210801,51,247.54,0
1922001,94,527.89,2
1930234,82,618.38,0
19365,103,1430.05,0
19372250,137,1972.79,1
1937648259137856lkjnoik,9,44.96,0
1944086851,14,73.85,1
1947CARROTS,26,104.93,0
194847383,135,963.22,6
1956aa1,113,1605.21,2
195862,69,634.54,5
19702316748,94,951.2,0
19720911,5,0.0,0
19820182123,13,178.84,0
1994dbc,207,2111.41,1
1997-07-06_J077,7,29.98,0
19990923,41,247.69,1
199A,27,138.91,0
19te_Polska,70,993.32,1
1BUCK80,32,329.86,0
1GN33L,20,224.88,0
1MLG2U,59,359.47,5
1NFR33,196,1961.69,1
1R1M1,52,341.53,3
1UK33Y,30,359.78,0
1_Taipan,25,361.83,0
1a1u14,76,383.53,2
1dog636,104,1060.02,0
1epicninja,91,1021.12,5
1iam1iam1iam,70,813.59,3
1jamesn4,82,939.3,2
1qaz2wwx010,23,44.97,0
1silentsniper1,319,3664.56,1
1snap,179,2005.21,7
1stBLUE-COW,52,351.67,1
1stpionpaul,162,2111.17,1
1sttperson,42,388.67,0
1v1meguy,245,3258.56,2
1v1meinclubpenguinscrub,28,334.81,0
1v1mim8,70,667.45,0
2000jtc,60,697.55,0
2001911,4,9.99,0
200220006,139,1843.91,1
20041213,27,28.88,3
200719917302,59,808.51,0
200px-spy-taunt-laugh,18,78.85,1
2011368123,252,3132.8,1
20115011,4,9.99,0
205723552,15,29.98,0
2080308,85,758.06,2
2092000666,31,174.76,3
210519992016,84,611.38,5
21072013,21,39.98,0
211011374,32,529.77,1
21129393,9,34.97,0
2114521846341684,13,149.91,0
2121312,17,43.87,0
2125125126,6,43.87,0
212blair212,17,104.92,0
213123123132,200,603.01,0
21321112399,13,189.91,0
2139093311,7,18.89,0
215251,35,321.73,0
216712138,92,901.33,1
218939137821738213127983,92,620.39,0
219121912191,13,44.97,0
21lord21drag,5,59.97,0
22109203,98,698.79,0
222081994,26,328.66,0
2222224444555985,35,222.69,0
2222455,131,1481.47,1
2233dog15,17,265.89,0
22491987,51,307.83,0
22502250,77,886.46,1
225544,72,801.19,3
225555,17,213.68,1
226rep,10,168.84,0
2271531450,25,98.8,1
2293371488,47,243.08,0
23012003,18,94.94,2
231091,184,2668.37,1
2311985201258745633313,37,380.72,0
231321455,60,292.61,5
23142433253545,122,1275.93,0
23184798,32,106.81,1
2323534545,158,1352.44,7
233433,8,22.98,0
2342526,52,642.44,0
23434454365463446754546576e45646,99,756.45,2
2345XXXXX,52,322.64,0
234671,28,158.78,0
235269,88,1125.74,1
235324234732,27,264.66,0
2364786499,49,609.52,1
23745736,74,436.58,2
2378695,2,34.98,0
2390746539217,23,360.86,2
23974656456,84,714.55,1
2398,22,226.62,0
23Batman05,145,1363.83,7
23jesus23,70,628.54,0
24045681579016271,15,29.97,0
24101738,34,68.89,1
243567890,7,44.97,0
2435689,76,660.41,0
2435764824567835,26,149.9,0
24453,74,1114.4,3
2448531,80,423.21,1
24532453,134,1211.87,0
24596,121,846.5,1
24681256447,11,76.85,0
246823,25,265.85,1
247211,154,1496.44,5
2479742,106,1390.92,3
248392584,7,30.96,0
248482,277,2835.29,0
24862345243,49,696.64,0
24902,45,436.68,0
249758,181,3333.92,1
24BallerJK,9,39.97,0
24CmRuler,77,867.4,0
25050,99,940.94,1
25061841,15,179.79,0
25230405,98,1007.18,1
25231341243,34,218.84,0
2539428377924,106,858.08,0
256565,18,201.68,0
2571,690,8292.76,5
259987556434546,121,1136.47,0
25_Years_Since_Freddie,30,309.81,7
26070,36,484.63,1
2608739,5,24.98,2
26292919,94,608.4,0
2647891,8,39.97,1
2688789326887893,73,254.78,0
269485,284,3838.23,0
27073108,106,1267.87,2
27601MCM,58,331.47,1
27649735,2,0.0,0
2768820078,91,1568.05,10
279519365,127,1138.87,1
27dnguyen,29,226.77,0
28019769,124,2267.59,0
2826,7,110.94,0
2891723967123,160,2041.42,7
28yelkco,32,219.84,0
29017637452801,86,505.44,1
291129112911291129112911,68,498.55,1
29123,18,128.83,5
2933725,2,0.0,0
2987654235,8,15.98,0
29998000,46,282.62,2
2Chill,122,1202.96,3
2Degrees,82,1156.22,3
2EzRogueDH,12,99.96,5
2JZEEEEBABY,61,895.33,2
2Lethal,117,1299.86,3
2Ryo2Know,29,217.85,0
2Ta4,362,3436.81,3
2ZESTY4ME,82,429.65,3
2amigosupremos753,1,0.0,0
2cq,898,9284.0,0
2d4nk4m3,160,741.84,2
2edgy4youboi,84,808.27,6
2ez2xl,79,744.28,2
2ez4medick,32,382.74,1
2fast4u271,39,265.66,0
2g00d4u,14,109.82,0
2greasy,33,452.51,0
2ik4tf,22,165.86,1
2kewl4you,9,19.99,0
2lstgun,31,237.84,1
2matoe,24,150.87,0
2muchred,149,1670.74,0
2nerdssemvida,101,205.58,2
2pacisaliveincuba,303,3552.07,1
2ptwisted,18,131.94,0
2red12,151,1787.85,1
2sBs,219,2491.27,10
2sd31,11,179.8,1
2seggy4um8havalook,10,54.97,0
2she,57,506.36,0
2sneaky5u,291,3150.75,1
2spookis,199,1644.11,1
2spooky,323,3919.75,6
2unimaginative4u,23,40.96,0
2v1meyoucheekyscrub,42,559.75,1
2xDelorean,55,439.7,4
30035115,97,1362.17,0
300799,14,24.98,0
30102002,33,176.23,1
3021Daniel,105,1397.92,1
3038070,5,34.98,0
3046123,70,875.29,1
305010,67,909.21,0
30699,29,214.91,0
30XxPikachuxX03,3,0.0,0
313134,378,4568.7,0
314155156915923,36,266.55,2
31456576727471577757175717,21,39.97,0
31575,73,193.7,1
317733235,58,372.42,2
317984739321,75,481.61,3
317jim,15,14.99,0
318941651,42,279.71,0
3197,44,476.57,4
320RustPro,11,29.97,2
3214213216,107,233.09,1
321541,26,253.81,0
3218998529,2,19.98,0
3265899423,66,446.6,0
326759263846544,294,1940.61,2
329838102,19,58.86,3
32bitmaximus,79,1124.19,1
33275,9,69.95,0
333333259,15,138.83,0
33334scat,59,432.76,1
333666333111,24,245.86,0
333hab,234,2458.07,1
33442,7,14.99,1
334756875,111,619.39,5
34234252sd,16,67.76,0
3423523425433425,118,1579.78,1
343221221,52,604.29,1
34324132,41,605.58,1
343574890,27,226.87,0
34383536,14,117.42,0
343rox,18,208.67,0
3456457568,90,742.28,0
34565754,28,384.84,0
3456669133723,9,49.96,0
345675,180,2285.57,9
34568535890075433578,44,527.76,0
34573671264yi,92,675.15,1
345827357205098,31,208.77,0
3496148694969,132,1673.28,0
350176,32,240.85,0
350241,184,2278.79,1
352039981386723,30,384.77,0
3523436346,99,1252.13,2
35353534,29,299.61,3
35475,161,2241.01,2
3548548564856498484894,149,1821.87,6
3565Jason,22,179.91,2
36033,32,189.63,0
360NoScopeMLGBLAZEGirlGamer69,10,84.94,0
360j1mmy,314,4033.96,3
3635,101,392.5,0
363997099,8,59.97,0
36864,22,333.78,2
369231461278416,127,846.24,2
36_T,259,3391.47,9
373848099,99,825.22,1
37755753,136,1814.7,10
378366354,69,630.57,0
37891266723,144,1450.63,0
380012,16,213.87,0
381644,84,971.19,1
38174962156174513,25,364.88,0
38189307,20,178.83,0
387561,18,246.56,0
38927497,725,8327.56,1
38y685ie4e89r78,13,73.86,0
391204566,89,1343.1,1
3Ldota,6,29.98,3
3dster,113,1157.09,1
3eBpA,140,1093.71,1
3lAckCAt,114,875.26,1
3mike,106,1278.91,0
3mperi0,41,453.42,0
3nv3y,139,1884.53,0
3ring,24,155.75,0
3stantedja,6,23.89,0
3teGZ_Rorschach,70,1132.38,7
3th3,66,261.44,9
3vild33d,41,499.6,0
3xU,146,1489.88,1
3xc4l18urblue,76,820.19,0
3xotic26,153,1963.63,4
400primetopkeks,18,151.87,0
4017209381,10,19.99,0
402553929,54,525.52,1
4043RROR,91,898.37,2
404PlayerNotFound,86,992.28,0
404ok4561687987879847,16,109.94,1
4131723314123,33,148.82,0
414291,40,287.8,0
41781029,51,376.57,1
4200769711,26,139.89,1
4201,31,483.75,0
4202346,73,586.38,0
420BlazeItMLG,23,42.77,3
420Blz,199,2362.39,1
420BlzeIT,40,224.83,1
420DankMasterKush420,102,879.69,2
420NigelGaming420,48,324.77,6
420_Blaze_It_Fgt,18,8.9,2
420believe,43,461.37,0
420blazedondaweedguyz,29,239.85,0
420blazefag00t,5,94.97,0
420blazeitbitches,22,255.81,0
420blaznnoscope,30,125.8,0
420box,137,1511.82,0
420cheekycunt,14,89.93,1
420dankmemer,53,489.42,0
420fedora,92,1047.05,10
420gandalfyoda,36,513.63,0
420haybale,18,87.94,0
420lol420,31,83.85,0
420slender,32,322.79,1
4234213234124,20,59.95,1
42456,9,54.84,5
42654264,24,207.94,1
42978717,217,2657.26,0
42rsfw42efwrwr,29,168.87,0
4301945,13,63.93,1
4321louis,70,535.01,1
4324434,19,119.8,2
434238948,80,302.11,7
434546464,76,929.24,3
44196,140,1884.53,4
442199,4,23.89,0
44290,34,195.87,1
4432XABLAU,204,1581.27,4
4454664,76,908.4,0
4456829,36,299.75,0
44579,47,408.6,1
44845991789,25,319.59,0
44925952,10,79.94,0
452213,3,14.99,0
45236243663663643636,45,684.63,1
45378665,3,19.99,0
4545451111,38,84.97,1
4545648,8,33.87,1
454575878752,12,18.98,0
45514551,70,456.72,4
45544554455445,91,922.38,1
45622hd,3,14.98,0
4563453467436754656677,8,107.96,1
4564231564,38,485.49,0
4567cabi,45,387.6,0
45685748567857,58,499.69,1
45748930,21,37.78,0
45826755958,40,544.81,1
458768,64,457.57,0
458769873675,7,117.94,0
45883274,275,3104.46,0
45979,3,0.0,0
46366536564574576346346546,192,709.6,1
4687843213132,12,122.9,0
4735736754,16,64.96,0
47444744,6,53.87,0
47DollarsInMyBankAccount,73,923.15,0
47enth,224,2843.37,0
4801,70,851.21,3
4805766,4,0.0,0
48226746,123,1635.82,8
483752394756293478563845,10,19.98,0
486259317,94,648.09,5
4Elementals,19,11.99,0
4KnightArtorias,39,18.89,0
4RCH4NG3Ll,173,1337.69,3
4_5C12U13,127,1499.62,6
4bigs,2,9.99,0
4d1t,23,400.66,0
4hwei,187,1649.49,3
4i20swagyolo69,24,136.75,4
4loreseeker,31,112.32,0
4mrtm,127,742.56,5
4n0m4ly,78,1012.97,0
4n631,51,634.69,1
4nti-y0u,116,1513.89,2
4op2U,89,657.1,0
4p4ch3,48,547.32,0
4skin5head,53,688.39,0
4tiles,20,327.83,1
50899161,213,2234.02,0
51041,47,493.62,1
51134243,95,946.07,7
512356,518,4246.84,8
51252151215512,74,559.23,0
512am,38,361.51,0
513659145,8,95.95,0
51564210333,81,528.59,2
519130312,100,646.46,0
519348245,71,239.64,1
51centcorn,299,2896.83,6
51jets,28,135.79,1
527788235,245,2724.79,6
53071407,26,354.87,0
53112195114,51,378.63,1
5318064,50,774.31,0
5343039,204,3675.79,1
535346456636,83,257.64,2
53774,178,2485.49,0
5400540054005400,101,1249.26,8
54263144,35,278.78,2
54321DrOpThEbAsS,19,215.84,0
5438910,25,98.84,0
544183980,133,1592.01,1
544542132154524145,33,25.78,1
54494292,23,94.93,0
5453V3,17,113.91,0
54546545,89,874.14,1
54678907652,71,699.39,8
5469782134896,351,4067.88,0
548547248072804,74,772.16,3
54Strat,57,623.61,3
54r93,199,3012.91,0
550455,16,8.9,0
554076033,14,154.95,1
55432147,133,666.22,4
5554Grovesy,91,1073.32,4
5564321,23,139.92,0
558092,53,342.64,5
564743553uy5367,52,493.63,1
567234,61,475.72,0
56745879956,6,0.0,0
56748930,34,319.8,0
5678LetMeCyaBootyShake,100,835.2,3
5692496235797644,107,1299.98,0
5739108,101,1163.25,0
57841325,37,276.05,0
5790870877878,12,8.9,0
579132657905,10,54.96,0
58077979,40,220.67,1
58254410,170,1574.32,4
58291756,1,4.99,0
5856565456564,104,1044.05,5
58981044,92,522.49,1
5901,65,701.23,0
59285912859,52,503.44,0
5975,241,2963.94,1
5LuG,23,184.87,1
5car3crow,99,1241.22,0
5h0tL3s5,72,917.39,0
5nakebit3,42,428.66,0
5p1ca,83,1036.4,0
5spooky420me,24,196.88,3
5yearoldrexrex111,122,1320.94,1
60324133769,87,641.17,5
6060548,95,1162.28,0
60sSpiderman,15,49.95,0
61241571,21,154.91,1
61428,26,219.76,0
616333,77,76.36,2
61782,69,519.56,0
618554,30,184.88,1
6294421419,116,872.17,2
63246555,26,77.75,0
6344143214,3,9.99,0
63718432421321321312,74,335.43,4
63Hayden,150,1334.3,6
6435677448,43,480.66,1
64512328,131,1006.14,4
64574574574744,36,179.86,3
64723864,221,2403.12,1
650326,12,86.94,0
6524696969,47,372.78,0
653448,154,1880.38,0
6545_Sniffler,49,1369.33,0
65464684,179,1761.85,0
65711642,48,609.24,0
657475591245,138,1777.46,1
6592,335,3844.93,1
66083299,30,368.78,4
66113860,41,509.75,0
666101,236,3367.24,0
66666669999999,121,1312.78,1
666999661,25,199.81,0
666NeCrO,505,6419.25,0
666slayerr666,133,1159.08,1
66839427,88,985.31,1
66d,78,816.87,2
66ot,54,494.54,0
67162763,90,378.49,0
6738497298564377854673421,128,1001.18,2
67712702,14,64.95,0
678rtv45,35,203.76,4
679gog,54,571.53,0
67samjosh,59,601.35,2
68496742234,178,2066.2,0
6871,110,1000.03,0
69133709,34,309.69,1
69222518,116,679.07,0
692412341234,28,78.73,1
6935,168,1860.51,7
694201337694201337,51,192.67,2
696969696969699,38,389.94,2
696969697,293,3570.21,0
697235,22,192.69,0
698959,97,1145.16,0
69_420_bl41e_fgt,85,869.15,1
69bmw,34,245.86,2
69doggystyle,100,737.09,0
69madman,18,111.89,1
6C_Troll,33,357.78,0
6dighero,337,4102.13,2
6ex6ex6ex,82,833.24,1
6golf6,11,84.94,1
6teencarz,84,941.23,0
70293553,6,54.96,0
71124,60,568.44,0
711armageddoncarmageddon,96,804.08,3
7122456,28,79.95,1
71251241,100,349.56,9
7225eternally,10,59.96,0
72345,1,14.99,0
72345436754433546,140,1087.04,0
723943123,53,517.52,7
72947282842,2,34.98,1
735102120,9,14.99,1
737911,198,810.36,3
739567275,136,981.94,2
739749287981,38,163.25,1
740449400,28,333.72,1
74345,207,2367.76,0
743748734,19,74.98,0
7466NHK,54,154.44,0
748237482374284792,132,400.1,2
74987000,57,420.62,7
750805,690,8392.98,2
7515953,56,447.67,4
75498,37,290.67,0
756755557153145,119,1110.7,0
75791513,28,154.85,5
75k12,99,1207.27,3
76415,34,241.56,0
76561193688520497,57,621.36,0
76561197960271609,30,257.59,0
76561197960277635,42,443.54,0
76561197960279587,37,421.61,0
76561197960279912,36,434.6,0
76561197960281419,26,263.68,0
76561197960285738,16,134.87,0
76561197960285909,24,224.84,0
76561197960286077,13,108.78,0
76561197960286950,184,1916.48,0
76561197960288186,254,3778.58,1
76561197960295773,14,128.77,0
76561197960298230,71,748.4,0
76561197960299496,28,368.65,0
76561197960301970,96,1544.86,0
76561197960324641,1168,13345.09,0
76561197960324664,33,264.65,0
76561197960324928,78,1245.25,3
76561197960333283,24,198.59,0
76561197960339094,17,109.76,0
76561197960364170,47,494.52,0
76561197960366346,63,635.54,0
76561197960390517,75,994.33,0
76561197960425229,94,1385.13,1
76561197960426941,47,484.57,0
76561197960438497,21,178.72,1
76561197960453899,34,398.65,0
76561197960454309,64,944.47,0
76561197960459970,34,372.63,0
76561197960461312,77,1027.33,2
76561197960462807,10,59.91,0
76561197960467275,214,2425.35,2
76561197960468120,25,299.79,0
76561197960470293,18,148.75,0
76561197960471546,25,373.46,0
76561197960471761,51,549.46,0
76561197960478402,26,249.2,0
76561197960478966,36,396.49,0
76561197960481739,59,666.47,0
76561197960499156,8,49.92,0
76561197960508459,14,123.78,0
76561197960531365,16,153.76,0
76561197960541850,22,167.64,0
76561197960549169,199,2615.82,0
76561197960564189,56,676.49,0
76561197960565919,29,473.67,0
76561197960571317,68,605.36,0
76561197960572371,29,343.67,0
76561197960575139,85,1397.09,0
76561197960577481,167,2114.31,0
76561197960580457,16,129.75,0
76561197960589167,31,298.68,0
76561197960607334,29,263.67,0
76561197960608571,21,153.63,1
76561197960611419,21,194.83,0
76561197960617353,25,234.84,0
76561197960666461,17,94.89,0
76561197960693758,66,667.47,0
76561197960694096,187,2369.34,0
76561197960713250,207,2714.95,0
76561197960721600,31,311.64,0
76561197960721799,18,198.74,0
76561197960743001,17,74.9,1
76561197960799510,41,458.63,0
76561197960802408,25,199.69,0
76561197960802995,62,596.34,0
76561197960803312,56,531.45,0
76561197960811584,195,1924.65,0
76561197960811774,30,463.67,0
76561197960874012,19,323.74,0
76561197960877600,24,267.7,0
76561197960888883,40,479.59,0
76561197960891010,269,3423.08,0
76561197960946320,50,618.52,0
76561197960959352,33,469.62,0
76561197960959436,136,1605.06,0
76561197960962392,29,302.64,0
76561197960963799,98,978.05,0
76561197960971187,17,148.77,0
76561197961051810,170,1833.34,1
76561197961108717,87,1392.23,0
76561197961111954,24,213.72,0
76561197961118969,78,1129.33,0
76561197961124706,111,1481.87,1
76561197961157004,62,752.33,0
76561197961172553,164,1979.19,0
76561197961172915,153,1727.61,0
76561197961187815,24,192.72,0
76561197961216740,31,253.68,0
76561197961222930,22,223.71,0
76561197961234023,29,245.66,0
76561197961247707,95,1207.07,0
76561197961279828,33,309.66,0
76561197961316177,42,467.59,0
76561197961325529,80,1118.25,0
76561197961375322,24,204.7,0
76561197961448249,22,180.83,0
76561197961464265,74,626.4,1
76561197961465709,91,1253.03,0
76561197961527817,67,771.41,0
76561197961533298,319,3801.89,0
76561197961567943,74,1084.23,0
